Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"Sandstone, Western Australia",Western Australia,Sandstone (S),57630,58,0,509,0,1375
"Woollahra, New South Wales",New South Wales,Woollahra (A),18500,39,3200,1365,650,3626
"Dungog, New South Wales",New South Wales,Dungog (A),12700,45,1662,578,245,1474
"Maitland, New South Wales",New South Wales,Maitland (C),15050,36,1733,644,320,1664
"Bland, New South Wales",New South Wales,Bland (A),10800,43,1000,580,150,1360
"Diamantina, Queensland",Queensland,Diamantina (S),32750,30,1500,754,133,2041
"Maranoa, Queensland",Queensland,Maranoa (R),34860,36,1400,741,200,1688
"Cowra, New South Wales",New South Wales,Cowra (A),12350,47,1148,509,185,1225
"Wagait, Northern Territory",Northern Territory,Wagait (S),74560,48,1733,861,250,1924
"Horsham, Victoria",Victoria,Horsham (RC),23190,42,1200,617,200,1408
"Barossa, South Australia",South Australia,Barossa (DC),40310,44,1473,646,250,1596
"Ipswich, Queensland",Queensland,Ipswich (C),33960,32,1600,667,310,1581
"Brewarrina, New South Wales",New South Wales,Brewarrina (A),11200,34,433,439,90,923
"Murrindindi, Victoria",Victoria,Murrindindi (S),25620,48,1400,553,220,1388
"West Tamar, Tasmania",Tasmania,West Tamar (M),65810,45,1300,564,250,1418
"Cranbrook, Western Australia",Western Australia,Cranbrook (S),52240,46,878,612,123,1281
"Trayning, Western Australia",Western Australia,Trayning (S),58400,50,510,556,79,1339
"Swan, Western Australia",Western Australia,Swan (C),58050,34,2000,716,350,1811
"Clarence Valley, New South Wales",New South Wales,Clarence Valley (A),11730,49,1300,477,255,1133
"Moreland, Victoria",Victoria,Moreland (C),25250,34,1950,680,355,1843
"Wanneroo, Western Australia",Western Australia,Wanneroo (C),58760,33,2058,709,375,1875
"Wyalkatchem, Western Australia",Western Australia,Wyalkatchem (S),59330,53,604,511,150,1166
"Onkaparinga, South Australia",South Australia,Onkaparinga (C),45340,40,1447,593,290,1448
"Plantagenet, Western Australia",Western Australia,Plantagenet (S),57210,46,1222,534,195,1275
"Huon Valley, Tasmania",Tasmania,Huon Valley (M),63010,45,1300,495,230,1246
"Liverpool Plains, New South Wales",New South Wales,Liverpool Plains (A),14920,45,1153,533,180,1287
"Norwood Payneham St Peters, South Australia",South Australia,Norwood Payneham St Peters (C),45290,40,1800,681,300,1920
"Winton, Queensland",Queensland,Winton (S),37400,46,1000,655,100,1413
"Unincorporated Vic, Victoria",Victoria,Unincorporated Vic,29399,31,775,741,285,1430
"Wellington, Victoria",Victoria,Wellington (S),26810,43,1300,562,210,1409
"North Burnett, Queensland",Queensland,North Burnett (R),35760,46,1083,501,157,1159
"Greater Shepparton, Victoria",Victoria,Greater Shepparton (C),22830,39,1300,588,220,1417
"Carpentaria, Queensland",Queensland,Carpentaria (S),32250,38,999,677,150,1544
