Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"Kempsey, New South Wales",New South Wales,Kempsey (A),14350,47,1300,474,240,1107
"Willoughby, New South Wales",New South Wales,Willoughby (C),18250,37,2877,946,580,2671
"Swan Hill, Victoria",Victoria,Swan Hill (RC),26610,40,1130,580,185,1358
"Glenelg, Victoria",Victoria,Glenelg (S),22410,47,1083,536,182,1362
"Yorke Peninsula, South Australia",South Australia,Yorke Peninsula (DC),48830,55,1000,483,180,1124
"Port Stephens, New South Wales",New South Wales,Port Stephens (A),16400,45,1733,571,305,1431
"Lismore, New South Wales",New South Wales,Lismore (C),14850,43,1430,550,260,1351
"Livingstone, Queensland",Queensland,Livingstone (S),34530,42,1875,618,300,1597
"Kalgoorlie/Boulder, Western Australia",Western Australia,Kalgoorlie/Boulder (C),54280,33,1800,974,290,2377
"Hindmarsh, Victoria",Victoria,Hindmarsh (S),22980,50,780,497,140,1217
"Rockingham, Western Australia",Western Australia,Rockingham (C),57490,34,1950,682,350,1812
"Hope Vale, Queensland",Queensland,Hope Vale (S),33830,26,1215,321,110,759
"South Burnett, Queensland",Queensland,South Burnett (R),36630,45,1159,478,220,1143
"Moora, Western Australia",Western Australia,Moora (S),55600,41,1100,707,166,1760
"Lockhart River, Queensland",Queensland,Lockhart River (S),34570,26,0,332,109,810
"Lake Macquarie, New South Wales",New South Wales,Lake Macquarie (C),14650,42,1733,609,320,1610
"Gnowangerup, Western Australia",Western Australia,Gnowangerup (S),53640,40,774,759,130,1676
"Clarence, Tasmania",Tasmania,Clarence (C),61410,43,1452,673,265,1644
"Port Augusta, South Australia",South Australia,Port Augusta (C),46090,39,1213,604,180,1370
"Yilgarn, Western Australia",Western Australia,Yilgarn (S),59360,45,790,861,120,1807
"Light, South Australia",South Australia,Light (RegC),43650,39,1452,669,250,1715
"Coonamble, New South Wales",New South Wales,Coonamble (A),12150,43,867,519,150,1218
"Beverley, Western Australia",Western Australia,Beverley (S),50560,53,1170,532,150,1264
"Waratah/Wynyard, Tasmania",Tasmania,Waratah/Wynyard (M),65410,46,1170,498,200,1247
"Barcaldine, Queensland",Queensland,Barcaldine (R),30410,42,1040,684,100,1514
"Walgett, New South Wales",New South Wales,Walgett (A),17900,43,750,464,145,1039
"Colac-Otway, Victoria",Victoria,Colac-Otway (S),21750,45,1300,574,210,1362
"Carrathool, New South Wales",New South Wales,Carrathool (A),11600,40,867,681,105,1538
"Wingecarribee, New South Wales",New South Wales,Wingecarribee (A),18350,47,1842,645,350,1639
"Wandering, Western Australia",Western Australia,Wandering (S),58680,47,1668,748,32,1777
"Northern Beaches, New South Wales",New South Wales,Northern Beaches (A),15990,40,2800,916,565,2528
"Perth, Western Australia",Western Australia,Perth (C),57080,32,2151,928,440,2291
"Latrobe , Victoria",Victoria,Latrobe (C) (Vic.),23810,41,1200,544,200,1415
"Blacktown, New South Wales",New South Wales,Blacktown (C),10750,33,2150,672,380,1817
"Scenic Rim, Queensland",Queensland,Scenic Rim (R),36510,44,1670,569,290,1417
"Belmont, Western Australia",Western Australia,Belmont (C),50490,34,1950,722,350,1725
"Broomehill-Tambellup, Western Australia",Western Australia,Broomehill-Tambellup (S),51080,39,800,643,100,1404
"Kimba, South Australia",South Australia,Kimba (DC),43220,40,823,684,85,1453
"Port Pirie City and Dists, South Australia",South Australia,Port Pirie City and Dists (M),46450,44,1001,481,170,1229
"Strathfield, New South Wales",New South Wales,Strathfield (A),17100,32,2167,682,470,1894
"Melbourne, Victoria",Victoria,Melbourne (C),24600,28,2000,642,450,2062
"Unincorporated SA, South Australia",South Australia,Unincorporated SA,49399,43,640,774,70,1280
"Baw Baw, Victoria",Victoria,Baw Baw (S),20830,42,1465,585,250,1462
"Tumby Bay, South Australia",South Australia,Tumby Bay (DC),47910,50,1170,570,170,1296
"Towong, Victoria",Victoria,Towong (S),26670,50,1083,535,150,1340
"Upper Gascoyne, Western Australia",Western Australia,Upper Gascoyne (S),58470,26,0,419,30,700
"Casey, Victoria",Victoria,Casey (C),21610,34,1733,640,340,1655
"Alpine, Victoria",Victoria,Alpine (S),20110,49,1300,562,200,1322
"Ararat, Victoria",Victoria,Ararat (RC),20260,46,1022,556,185,1263
"East Arnhem, Northern Territory",Northern Territory,East Arnhem (R),71300,25,0,242,60,671
"Central Desert, Northern Territory",Northern Territory,Central Desert (R),70620,28,1040,294,53,801
"Berrigan, New South Wales",New South Wales,Berrigan (A),10650,49,1083,524,180,1251
"Queanbeyan-Palerang Regional, New South Wales",New South Wales,Queanbeyan-Palerang Regional (A),16490,38,2100,933,300,2303
"King Island, Tasmania",Tasmania,King Island (M),63410,47,1000,707,128,1642
"Lockyer Valley, Queensland",Queensland,Lockyer Valley (R),34580,39,1517,535,280,1376
"Karoonda East Murray, South Australia",South Australia,Karoonda East Murray (DC),43080,48,650,461,100,1181
"Playford, South Australia",South Australia,Playford (C),45680,32,1300,498,245,1212
"Kondinin, Western Australia",Western Australia,Kondinin (S),54620,43,776,784,115,1570
"Glamorgan/Spring Bay, Tasmania",Tasmania,Glamorgan/Spring Bay (M),62410,56,1083,498,190,1054
"Sydney, New South Wales",New South Wales,Sydney (C),17200,32,2499,953,565,2524
"Kingston , Victoria",Victoria,Kingston (C) (Vic.),23430,40,1993,704,351,1938
"Meekatharra, Western Australia",Western Australia,Meekatharra (S),55250,35,600,992,100,1399
"Etheridge, Queensland",Queensland,Etheridge (S),33100,45,664,521,95,1192
"Victoria Park, Western Australia",Western Australia,Victoria Park (T),58510,34,2037,766,351,1998
"Lake Grace, Western Australia",Western Australia,Lake Grace (S),54900,40,1000,899,138,1944
"Monash, Victoria",Victoria,Monash (C),24970,37,2000,569,391,1809
"Mandurah, Western Australia",Western Australia,Mandurah (C),55110,43,1820,555,320,1435
"Southern Mallee, South Australia",South Australia,Southern Mallee (DC),47290,46,650,604,120,1430
